"","state","sum_deaths","sum_cases","n"
"1","Washington",2224703,153916065,23005
"2","Illinois",9483582,483328668,58696
"3","California",20468940,1319993615,33976
"4","Arizona",6096090,310629676,8869
"5","Massachusetts",7309903,236619046,8884
"6","Wisconsin",2688475,237879009,41449
"7","Texas",17925056,1055919678,142186
"8","Nebraska",839336,79024837,50267
"9","Utah",781882,141898184,16859
"10","Oregon",931422,70247886,20508
"11","Florida",13745051,855481403,39626
"12","New York",23299684,710586509,33976
"13","Rhode Island",1033579,50292753,3492
"14","Georgia",7143298,396575572,92569
"15","New Hampshire",484650,30228036,6390
"16","North Carolina",4526246,345696611,57609
"17","New Jersey",11265550,340028211,12973
"18","Colorado",2513223,179993850,36599
"19","Maryland",3563751,159989245,14595
"20","Nevada",1969999,117148215,9373
"21","Tennessee",4134700,303378384,55327
"22","Hawaii",180615,14237179,2770
"23","Indiana",4860054,259131266,53302
"24","Kentucky",2225706,160790144,68332
"25","Minnesota",2692494,201143212,50107
"26","Oklahoma",2146447,159576652,44167
"27","Pennsylvania",9715842,384532957,38907
"28","South Carolina",3444351,208109794,26799
"29","District of Columbia",467130,17814931,596
"30","Kansas",1673637,112309758,58048
"31","Missouri",3372573,220714890,65966
"32","Vermont",88876,7230189,8728
"33","Virginia",3737318,229267885,76256
"34","Connecticut",3482133,114428321,5273
"35","Iowa",2065206,133300255,56870
"36","Louisiana",4382115,187547229,37772
"37","Ohio",6564047,369890375,51123
"38","Michigan",7524986,307977761,48234
"39","South Dakota",669113,43706254,36220
"40","Arkansas",2053611,126646051,43680
"41","Delaware",622441,35986825,2323
"42","Mississippi",2769371,121860085,47526
"43","New Mexico",1429315,70239617,18693
"44","North Dakota",541370,39308385,29591
"45","Wyoming",242155,21512093,13169
"46","Alaska",118839,24624194,14914
"47","Maine",273920,20073491,9671
"48","Alabama",3748732,201568195,38778
"49","Idaho",745101,68822106,24294
"50","Montana",529288,38853682,29344
"51","Virgin Islands",14239,1386283,1847
"52","Guam",53853,3888308,588
"53","West Virginia",904478,52896422,31128
"54","Northern Mariana Islands",1149,70334,1135
"55","American Samoa",0,37,37
